Date,RELIANCE,Rel_Return,TCS,TCS_Return,HDFCBANK,HDFC_Return,BHARTIARTL,ARTL_Return ,INFY,INFY_Return,ITC,ITC_Return,SUNPHARMA,Sun_Return,ONGC,ONGC_Return,TATAMOTORS,TATA_return,DMART,DMART_Return,,Returns ,Returns_Sorted,,,,
21-03-2017,577.7668457,,1243.349976,,720.4749756,,315.3499146,,516.4249878,,287.8999939,,698.0499878,,194.0500031,,473.75,,641.5999756,,,,,,,,
22-03-2017,575.8924561,-0.003244197,1239.474976,-0.00311658,715.4500122,-0.006974515,304.8052063,-0.03343812,513.8499756,-0.004986227,279.8500061,-0.027961056,701.4500122,0.004870746,192.5,-0.007987648,459.8999939,-0.029234841,638.5499878,-0.004753722,,-0.011682616,-0.113973073,,,,
23-03-2017,582.1099243,0.010796231,1230.175049,-0.007503118,715.4500122,0,305.075592,0.000887077,520.2249756,0.012406345,277.6000061,-0.008040021,703.1500244,0.002423569,193.6000061,0.005714317,472.8999939,0.028267015,634.8499756,-0.005794397,,0.003915702,-0.087617819,,,,
24-03-2017,588.2587891,0.010563065,1213.599976,-0.013473752,712.1749878,-0.004577573,306.8781128,0.00590844,515.7000122,-0.00869809,281,0.012247816,703.9000244,0.001066629,191.8999939,-0.008781054,470.3999939,-0.00528653,616.9000244,-0.02827432,,-0.003930537,-0.070081466,,Historical VaR,,
27-03-2017,571.9608154,-0.027705449,1206.025024,-0.006241721,704.9249878,-0.010180082,305.2558289,-0.005286411,514.4249878,-0.002472415,281.6000061,0.002135253,691.2000122,-0.018042352,188.8999939,-0.015633143,464.75,-0.012011042,614.4000244,-0.004052521,,-0.009948988,-0.062555177,,95% VaR,-0.01471438,There is a 5% chance that the portfolio will lose more than 1.47% in a single day.
28-03-2017,569.5150146,-0.004276168,1214.974976,0.007421033,710.0999756,0.007341189,307.1034241,0.006052612,517.5750122,0.006123389,280.5,-0.003906272,698.5999756,0.010705965,186.8999939,-0.010587613,472.3999939,0.016460449,628.7999878,0.023437439,,0.005877203,-0.046596678,,99% VaR,-0.028414164,There is a 1% chance that the portfolio will lose more than 2.84% in a single day.
29-03-2017,574.4981079,0.008749714,1222.300049,0.006028991,714.2999878,0.005914677,310.7985535,0.012032199,515.9249878,-0.003187991,283.2000122,0.009625712,687.6500244,-0.015674136,186.9499969,0.000267539,469.0499878,-0.007091461,628.25,-0.000874663,,0.001579058,-0.042517905,,,,
30-03-2017,580.8984375,0.011140732,1220.5,-0.001472674,733.0999756,0.026319457,316.5215454,0.018413831,512.75,-0.006153972,282.75,-0.001589026,687.0499878,-0.00087259,183.8999939,-0.016314539,468.3999939,-0.001385767,631.8499756,0.005730164,,0.003381562,-0.042082731,,Parametric VaR,,VaR = ? + z × ?
31-03-2017,603.8710327,0.039546664,1215.900024,-0.003768927,721.2750244,-0.016130066,315.4851074,-0.003274463,511.125,-0.003169186,280.2999878,-0.008664941,688.1500244,0.001601101,185,0.005981545,465.8500061,-0.005444039,637.8499756,0.009495925,,0.001617361,-0.041332141,,Mean (?),0.000783994,
03-04-2017,628.4437256,0.040691955,1205.849976,-0.008265522,716.5999756,-0.006481645,308.0497437,-0.023568034,504.3999939,-0.013157263,281.5499878,0.004459508,692.4000244,0.006175979,185.8000031,0.004324341,470.3999939,0.009767066,634.25,-0.005643922,,0.000830246,-0.039132397,,Standard deviation (?),0.010544882,
05-04-2017,646.8903809,0.029352915,1200.625,-0.004333023,716.1749878,-0.000593061,310.4831238,0.007899309,497.9750061,-0.012737882,278.9500122,-0.009234508,690.7000122,-0.002455246,186.25,0.002421942,473.5,0.006590149,632.1500244,-0.003310959,,0.001359964,-0.037365071,,95% VaR,-0.016615061,z = -1.65
06-04-2017,657.6337891,0.016607772,1200.025024,-0.00049972,719.25,0.00429366,308.0497437,-0.007837399,499.7999878,0.003664806,274.1000061,-0.01738665,686.9000244,-0.005501647,187.5500031,0.006979882,473.2000122,-0.000633554,664.4000244,0.051016371,,0.005070352,-0.034996137,,99% VaR,-0.023785581,z = -2.33
07-04-2017,643.0501709,-0.022175896,1214.525024,0.012083081,719.4249878,0.000243292,310.6633911,0.008484498,490.7749939,-0.018057211,272.6499939,-0.005290085,665.9500122,-0.030499362,186.3999939,-0.006131747,468.2999878,-0.010355081,751.2000122,0.130644167,,0.005894566,-0.034082611,,,,
10-04-2017,631.5067749,-0.017951004,1211.125,-0.002799468,717.0750122,-0.003266464,311.5646362,0.002901034,476.7000122,-0.028679093,273.5499878,0.003300913,667.75,0.002702887,186.4499969,0.000268256,474.8999939,0.014093543,774.0999756,0.030484509,,0.000105511,-0.032262835,,,,
11-04-2017,627.3922729,-0.006515373,1209.650024,-0.001217856,719.75,0.003730416,315.6203003,0.013017087,483.5750122,0.014422068,282.0499878,0.031072931,670.4000244,0.003968588,187.8500061,0.007508765,472.25,-0.005580109,778.5499878,0.005748627,,0.006615514,-0.031296752,,,,
12-04-2017,619.0032349,-0.01337128,1196.625,-0.010767597,721.8499756,0.002917646,316.1610413,0.001713264,484.4249878,0.001757691,281.8999939,-0.000531799,683.25,0.019167624,186.6999969,-0.006121955,464.5499878,-0.016304949,762.2000122,-0.021000547,,-0.00425419,-0.030252327,,,,
